ThreadID: 40f67f9944780000, CarID: 0, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40e6ff9844780000, CarID: 1, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40f6ff8f44780000, CarID: 3, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d67f9844780000, CarID: 2, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40c6ff9744780000, CarID: 4, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40b67f9744780000, CarID: 5, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40f67f9944780000, CarID: 0, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40f67f9944780000, CarID: 0, Object: N0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40f6ff8f44780000, CarID: 3, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40c6ff9744780000, CarID: 4, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40b67f9744780000, CarID: 5, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40e6ff9844780000, CarID: 1, Object: N0, time stamp: 300, AID: 1 arrived at connector.
ThreadID: 40e6ff9844780000, CarID: 1, Object: N0, time stamp: 310, AID: 2 started passing connector.
ThreadID: 40f67f9944780000, CarID: 0, Object: N0, time stamp: 500, AID: 3 finished passing connector.
ThreadID: 40f67f9944780000, CarID: 0, Object: N0, time stamp: 500, AID: 0 traveling to connector.
ThreadID: 40d67f9844780000, CarID: 2, Object: N0, time stamp: 600, AID: 1 arrived at connector.
ThreadID: 40f67f9944780000, CarID: 0, Object: N0, time stamp: 601, AID: 1 arrived at connector.
ThreadID: 40e6ff9844780000, CarID: 1, Object: N0, time stamp: 712, AID: 3 finished passing connector.
ThreadID: 40e6ff9844780000, CarID: 1, Object: N0, time stamp: 712, AID: 0 traveling to connector.
ThreadID: 40f6ff8f44780000, CarID: 3, Object: N0, time stamp: 712, AID: 2 started passing connector.
ThreadID: 40c6ff9744780000, CarID: 4, Object: N0, time stamp: 722, AID: 2 started passing connector.
ThreadID: 40b67f9744780000, CarID: 5, Object: N0, time stamp: 732, AID: 2 started passing connector.
ThreadID: 40e6ff9844780000, CarID: 1, Object: N0, time stamp: 1011, AID: 1 arrived at connector.
ThreadID: 40f6ff8f44780000, CarID: 3, Object: N0, time stamp: 1111, AID: 3 finished passing connector.
ThreadID: 40f6ff8f44780000, CarID: 3, Object: N0, time stamp: 1111, AID: 0 traveling to connector.
